Name	Opp. Elo	Player Analyze	Opp. Analyze	Elo Results	Elo Results+Luck	Outplays	Matches	Unlimited Games	Luck	Experience	Decisions	Opp. Decisions
SMASHER	1600	9.37	19.73	NA	1970	100.0%	1 won, 0 lost	NA	-0.3	5	99	88
SOCKSEY	1600	7.51	11.53	1782	1739	100.0%	2 won, 1 lost	NA	-0.1	17	243	243
SOCRATES	1600	15.73	0.07	NA	1365	0.0%	0 won, 1 lost	NA	+0.3	7	65	75
SOSO	1600	26.74	23.13	NA	1812	0.0%	0 won, 1 lost	NA	+0.6	5	28	35
SOUTH_PIGALLE	1600	11.54	18.55	NA	2009	100.0%	0 won, 1 lost	NA	+0.7	5	103	154
STANNY	1600	13.15	12.14	NA	1534	50.0%	0 won, 2 lost	NA	+0.9	10	140	142
STORMBRINGER	1600	9.53	4.60	NA	1631	0.0%	0 won, 1 lost	NA	+0.5	5	21	39
SUBKONTINENT	1600	7.02	16.74	NA	2096	100.0%	1 won, 0 lost	NA	-0.2	5	76	72
SUBPRIME	1600	11.10	33.19	NA	1849	100.0%	1 won, 0 lost	NA	-0.3	5	56	44
SUNSHINE	1600	14.31	23.26	NA	1897	100.0%	0 won, 1 lost	NA	+0.6	3	45	48
SYLVIU	1600	7.64	16.42	NA	1660	100.0%	0 won, 1 lost	NA	+0.5	5	46	47
TAILBOARDMAN	1600	18.22	27.62	NA	NA	100.0%	0 won, 1 lost	NA	+0.9	5	111	117
TASSOS1	1575	5.98	8.57	NA	1637	100.0%	1 won, 0 lost	NA	-0.5	3	68	91
TAVLATHORA	1507	4.88	6.30	NA	1562	100.0%	1 won, 0 lost	NA	-0.5	3	81	81
TAYLOR	1600	12.86	9.64	NA	1585	0.0%	0 won, 1 lost	NA	+0.5	7	78	91
TENNIEG	1600	8.73	22.04	1600	NA	100.0%	1 won, 1 lost	NA	+0.7	6	128	158
TEXMEX	1755	9.84	5.92	NA	1558	0.0%	1 won, 0 lost	NA	-0.6	7	154	171
THEHEAT	1504	4.45	8.61	NA	2080	100.0%	0 won, 1 lost	NA	+0.8	5	92	102
THOMASG	1600	19.06	27.13	NA	1967	100.0%	2 won, 0 lost	NA	-0.6	8	70	67
TINNZANN	1600	7.43	12.37	NA	1706	100.0%	0 won, 1 lost	NA	+0.6	5	48	75
TJH	1600	3.55	22.21	NA	2195	100.0%	1 won, 0 lost	NA	-0.3	1	15	14
TOPLAYTWODIE	1600	4.13	9.71	NA	1621	100.0%	0 won, 1 lost	NA	+0.5	5	69	83
TOURNEY	1600	5.83	17.42	NA	1736	100.0%	3 won, 0 lost	NA	-1.2	17	108	68
TRAILOR	1600	9.03	9.92	NA	1659	100.0%	1 won, 0 lost	NA	-0.5	7	96	123
TROY	1600	9.56	15.83	NA	1569	100.0%	0 won, 1 lost	NA	+0.5	3	67	59
TRUCKERGIRL	1600	7.78	12.93	NA	1718	100.0%	0 won, 2 lost	NA	+1.2	12	68	78
TSPINOZA	1600	8.90	20.11	NA	1877	92.2%	6 won, 0 lost	NA	-1.9	32	401	408
TUNA1234	1468	11.59	13.20	NA	1423	100.0%	0 won, 1 lost	NA	+0.5	9	180	201
TUPUNGATO	1600	7.17	7.72	1869	1650	33.3%	2 won, 1 lost	NA	-0.4	15	321	331
TURMERIC	1600	15.47	13.50	NA	1764	0.0%	0 won, 1 lost	NA	+0.6	7	104	142
TYKE	1600	12.38	13.18	NA	1514	50.0%	0 won, 2 lost	NA	+0.9	10	166	170
UGNIS	1761	12.89	4.33	NA	1638	0.0%	0 won, 1 lost	NA	+0.4	9	116	120
UNLUCKYD	1600	12.79	13.91	NA	1621	75.0%	0 won, 2 lost	NA	+1.0	12	178	151
UNVERGESSLICH	1600	12.13	16.82	1600	1611	50.0%	1 won, 1 lost	NA	+0.0	14	184	190
VAGATOR	1448	15.69	15.05	NA	1599	50.0%	1 won, 0 lost	NA	-0.4	5	76	71
VEGAS_VIC	1600	6.30	3.86	NA	1526	0.0%	0 won, 2 lost	NA	+0.9	14	167	166
VEGASVIC	1600	8.58	1.31	NA	NA	0.0%	0 won, 1 lost	NA	+0.0	7	139	147
VICKERS	1600	9.16	6.86	1659	1509	20.8%	1 won, 1 lost	NA	-0.2	12	185	200
VIRTUOSITY	1600	17.15	12.07	NA	1403	0.0%	0 won, 1 lost	NA	+0.4	7	99	109
VIVALAVIDA	1600	9.04	10.60	NA	1687	100.0%	3 won, 0 lost	NA	-1.3	15	280	296
VOID	1600	10.05	11.08	NA	1567	100.0%	0 won, 1 lost	NA	+0.5	5	85	86
VOVA	1600	11.78	12.63	1869	1590	33.3%	2 won, 1 lost	NA	-0.5	15	222	252
WEBMASTERAJ	1600	13.77	21.63	1514	1812	100.0%	2 won, 3 lost	NA	+1.0	29	437	486
WELLS	1600	3.57	6.41	NA	1736	100.0%	0 won, 1 lost	NA	+0.6	3	39	45
WEMMICK	1600	11.89	21.56	NA	1789	50.0%	0 won, 2 lost	NA	+1.2	6	64	53
WFW	1600	11.09	18.64	NA	1403	100.0%	1 won, 0 lost	NA	-0.6	5	88	62
WILDY	1600	8.96	9.11	NA	1354	50.0%	1 won, 0 lost	NA	-0.6	3	81	98
WOODPECKER	1439	8.23	15.71	NA	1607	100.0%	1 won, 0 lost	NA	-0.4	7	164	147
XG ROLLER+	2082	12.05	0.00	1772	1903	0.0%	0 won, 2 lost	+6/2 games	Match: -6.1 Money: +0.7	14	174	181
XG-EXPERT	1907	21.05	1.99	NA	NA	0.0%	0 won, 1 lost	NA	+0.0	5	74	69
YAK54	1747	11.83	8.35	NA	1815	0.0%	1 won, 0 lost	NA	-0.5	5	52	70
YOYO	1600	11.14	12.50	1712	1591	64.3%	4 won, 3 lost	NA	-0.5	35	519	566
YSLAND	1600	11.67	11.50	NA	1655	50.0%	0 won, 1 lost	NA	+0.5	5	60	71
YURI	1600	14.14	11.02	NA	1478	0.0%	0 won, 1 lost	NA	+0.4	7	123	127
YUT	1600	14.83	22.30	NA	1667	100.0%	1 won, 0 lost	NA	-0.5	5	25	33
ZENMASTER_FLASH	1600	6.21	10.24	1678	1715	61.5%	2 won, 1 lost	NA	+0.1	13	180	191
ZIIZ	1600	11.63	24.02	NA	1694	100.0%	1 won, 0 lost	NA	-0.4	5	88	69
ZITOJC	1600	10.88	13.73	1839	1780	61.5%	2 won, 1 lost	NA	-0.1	13	156	182
ZIZOU	1600	12.46	29.55	NA	1690	100.0%	1 won, 0 lost	NA	-0.5	1	21	8
ZZOCKER	1600	10.33	25.14	NA	1971	100.0%	1 won, 0 lost	NA	-0.3	3	26	37
