"Exports & Imports by NAICS Commodities by country 2024"
"Current date: 04/03/2025 3:28 AM (Eastern Daylight Time)"
"Commodity: All Commodities"
"District: All Districts Total"
"Time: 2024"
"Country","Total Exports Value ($US)","Domestic Exports Value ($US)","Foreign Exports Value ($US)","Customs Import Value (Gen) ($US)","CIF Import Value (Gen) ($US)","Customs Import Value (Cons) ($US)","CIF Import Value (Cons) ($US)","Balance ($US)",
"Chile","18,167,793,397","16,070,004,966","2,097,788,431","16,469,479,956","17,413,081,980","16,473,618,419","17,417,299,117","1,698,313,441"
"China","143,545,739,507","125,466,500,562","18,079,238,945","438,947,386,145","462,638,752,430","429,753,399,481","453,053,007,073","-295,401,646,638"
"Christmas Island","2,114,790","1,324,095","790,695","1,747,242","1,836,055","1,628,288","1,716,838","367,548"
"Cocos (Keeling) Islands","2,580,470","2,546,636","33,834","1,100,644","1,134,796","1,145,846","1,180,947","1,479,826"
"Colombia","19,037,613,407","17,248,259,406","1,789,354,001","17,690,348,963","18,433,588,950","18,268,378,674","19,019,923,522","1,347,264,444"
"Comoros","4,738,928","4,667,763","71,165","1,848,391","1,870,433","1,748,275","1,768,215","2,890,537"
"Congo (Brazzaville)","237,138,527","229,122,315","8,016,212","40,200,821","41,639,835","54,854,856","56,527,760","196,937,706"
"Congo (Kinshasa)","253,285,367","247,273,527","6,011,840","323,100,139","327,432,401","322,913,937","327,247,897","-69,814,772"
"Cook Islands","6,861,175","6,518,170","343,005","892,119","903,171","892,119","903,171","5,969,056"
"Costa Rica","9,676,788,152","8,258,740,063","1,418,048,089","11,634,905,331","12,005,935,145","11,451,126,674","11,821,802,434","-1,958,117,179"
"Cote d'Ivoire","596,568,616","582,591,209","13,977,407","1,014,676,411","1,052,957,202","1,014,059,284","1,052,339,609","-418,107,795"
"Croatia","993,902,407","939,220,155","54,682,252","1,000,870,837","1,032,399,335","998,435,103","1,029,705,282","-6,968,430"
"Cuba","586,499,825","578,008,613","8,491,212","4,869,872","4,885,434","4,869,872","4,885,434","581,629,953"
"Curacao","823,501,266","763,855,156","59,646,110","31,935,945","34,423,017","31,935,945","34,423,017","791,565,321"
"Cyprus","183,422,678","167,735,013","15,687,665","58,860,309","60,392,548","58,846,273","60,417,362","124,562,369"
"Czech Republic","4,279,765,621","3,247,645,942","1,032,119,679","8,081,908,339","8,312,734,848","7,828,469,165","8,072,637,728","-3,802,142,718"
"Denmark","5,807,765,771","5,051,333,252","756,432,519","10,040,422,224","10,242,832,040","9,977,110,933","10,179,009,655","-4,232,656,453"
"Djibouti","144,982,858","126,394,891","18,587,967","40,111,250","40,570,237","40,080,293","40,539,274","104,871,608"
"Dominica","58,798,990","52,036,855","6,762,135","2,306,195","2,386,186","2,289,487","2,369,728","56,492,795"
