"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2017",Florida,"Boynton Beach","200 Block of NW 3rd Ave",2,0,N/A
"December 31, 2017","West Virginia",Flemington,"45 High St",1,0,N/A
"December 31, 2017","New Jersey","Long Branch","635 Wall St",4,0,N/A
"December 31, 2017",Pennsylvania,Harrisburg,"1900 block of Brookwood St",1,1,N/A
"December 31, 2017","New Jersey",Newark,"2nd St and Central Ave",1,0,N/A
"December 31, 2017",Nevada,"Las Vegas","Alexander Rd and Lamb Blvd",1,0,N/A
"December 31, 2017","South Carolina",Columbia,"Bluff Rd",1,0,N/A
"December 31, 2017",Florida,Jacksonville,"34th St and Wilson St",1,0,N/A
"December 31, 2017",Massachusetts,Lawrence,"170 Reservoir St",1,0,N/A
"December 30, 2017",Nevada,"Las Vegas","740 S Decatur Blvd",3,0,N/A
"December 30, 2017",Texas,"Iowa Park",N/A,1,0,N/A
"December 30, 2017",Washington,Auburn,"200 block of F St SW",1,0,N/A
"December 30, 2017","North Carolina","High Point",N/A,1,0,N/A
"December 30, 2017",Minnesota,Burnsville,"Hilltop Rd and Circle Dr",1,0,N/A
"December 30, 2017",Maryland,"District Heights","3300 block of Walters Ln",1,0,N/A
"December 30, 2017","North Carolina",Ernul,"585 Aurora Rd",1,1,N/A
"December 30, 2017",Washington,Vancouver,"12500 block of NE 28th St",1,0,N/A
"December 30, 2017",California,Oakland,"3400 block of High St",1,0,N/A
"December 30, 2017",Florida,Tampa,"1806 N Nebraska Ave",1,1,N/A
"December 30, 2017",Ohio,Cleveland,"6700 block of Sebert Ave",1,0,N/A
"December 30, 2017",California,"Redwood City","1900 Broadway",1,0,N/A
"December 30, 2017",Indiana,Evansville,"5000 Monroe Ave",1,0,N/A
"December 30, 2017",Connecticut,Manchester,"1540 Pleasant Valley Rd",1,0,N/A
"December 30, 2017",California,"San Pablo","2800 block of Valencia Way",1,1,N/A
"December 30, 2017",California,Modesto,"601 N Franklin St",1,0,N/A
"December 30, 2017",Georgia,Savannah,"Montgomery St and W Park Ave",1,0,N/A
"December 30, 2017",California,Stockton,"Access St and Tam O Shanter Dr",1,0,N/A
"December 30, 2017",Tennessee,Harriman,"200 block of Harding Road",1,0,N/A
"December 30, 2017",Arkansas,Helena,"100 block of Oakland Street",1,1,N/A
"December 30, 2017",Texas,Houston,"W Orem and Townwood",1,0,N/A
"December 30, 2017",Alaska,Anchorage,"100 block of Oklahoma St",1,0,N/A
"December 30, 2017",Kansas,"Kansas City","700 block of N 9th St",1,0,N/A
"December 30, 2017",Texas,Hillsboro,"1000 block of E Walnut St",1,0,N/A
"December 30, 2017",Missouri,Independence,"14609 E Truman Rd",1,0,N/A
"December 30, 2017",Wisconsin,Brookfield,"20150 W. Blue Mound Road",1,0,N/A
"December 30, 2017",Ohio,Cleveland,"Euclid Ave and E 79th St",1,0,N/A
"December 30, 2017",Florida,"Polk City","9511 Evans Road",2,1,N/A
"December 30, 2017",Ohio,Columbus,"847 E 11th Ave",1,0,N/A
"December 30, 2017",Alabama,Greensboro,"County Rd 16",1,0,N/A
