date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.854,3.977933967888896
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.165333333333333,3.7404093059647368
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.209,4.0805476703211365
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.932666666666666,4.319068302989761
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,3,17,6,11,10,10.432,4.488959744364928
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.865,4.2461101591725035
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.132333333333333,4.268515897226714
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.821,4.243303847536041
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.376333333333333,3.7839326021395694
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.132333333333333,4.107689406423288
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.696666666666667,4.295051964685488
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,2,16,6,11,9,9.953,4.481013742601904
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,8,8.962,4.0254139313996475
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,8,8.986666666666666,4.109677851069199
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.653666666666666,3.9939584111695847
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.336333333333333,3.4856749512125664
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.745333333333333,3.685332022074338
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,2,13,3,8,8,8.013333333333334,3.8380636350088935
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,1,13,4,8,8,8.197,3.8775253363768947
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.201666666666667,3.4520963986256272
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.129,3.470020078680931
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.8133333333333335,3.310006183660011
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.690666666666667,2.981824382449691
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,1,10,2,6,6,6.049,3.0887612104647646
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,0,10,3,6,6,6.191,3.217344054898263
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.3036666666666665,3.2187326650218275
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.743666666666667,2.929303699222106
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.615666666666667,3.035955681141416
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.347666666666667,2.858120158280371
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,0,8,1,4,4,4.633333333333334,2.6356285274674973
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.116333333333333,2.7552368922350396
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.321,2.8627534739275338
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.645,3.0431445210821098
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.296666666666667,2.851321138168506
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.549666666666667,2.945803649589735
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.543,2.9682353579829424
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,4.962,2.7808512565826096
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,1,10,2,6,6,5.940333333333333,3.07255378327854
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.597666666666667,3.2985989157758997
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,1,12,4,8,7,7.554333333333333,3.621613809397273
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,1,12,4,8,7,7.522666666666667,3.618726933203801
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.373666666666667,3.9746663440349757
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.001,4.123914146693216
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,8,8.739666666666666,4.066784905636367
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,3,17,6,11,10,10.744,4.704165571551968
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,4,20,7,13,12,12.786666666666667,5.29198991634027
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,6,24,9,16,15,15.101,6.062484383949802
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,6,25,8,16,15,15.985333333333333,6.380126975928082
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,6,29,10,19,18,18.629333333333335,7.413698617960867
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,7,31,14,23,20,20.409333333333333,7.672292198429462
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,7,32,11,21,20,20.407333333333334,7.912581702914078
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,10,39,17,28,25,25.937,9.528166647011258
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,12,47,19,33,30,31.235333333333333,11.25922769516865
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,17,57,21,38,36,37.643,13.110409806019055
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,17,60,25,42,38,39.721666666666664,13.691750018231518
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,21,70,33,52,45,46.92633333333333,15.90609656258175
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,26,79,36,57,50,52.257666666666665,17.045530927404048
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,27,82,33,55,51,52.59,17.689418829142962
2020-06-29,reported_cases,NA,positivity-adjusted reported cases,30,98,42,69,64,66.01433333333334,21.618986749728055
2020-06-30,reported_cases,NA,positivity-adjusted reported cases,36,118,52,85,77,79.91833333333334,26.112671657567343
2020-07-01,reported_cases,NA,positivity-adjusted reported cases,45,140,63,101,91,95.03566666666667,30.79327529115095
2020-07-02,reported_cases,NA,positivity-adjusted reported cases,49,148,71,110,97,99.73933333333333,31.472192263184322
2020-07-03,reported_cases,NA,positivity-adjusted reported cases,59,173,87,134,113,116.77733333333333,37.09502796766969
2020-07-04,reported_cases,NA,positivity-adjusted reported cases,60,187,83,133,122,126.131,40.30478049533238
2020-07-05,reported_cases,NA,positivity-adjusted reported cases,57,182,86,135,120.5,124.517,39.99301011367675
2020-07-06,reported_cases,NA,positivity-adjusted reported cases,74,227,107,169,148,154.662,49.47968440740454
2020-07-07,reported_cases,NA,positivity-adjusted reported cases,98,270,126,195,175,182.26266666666666,55.58556399399397
2020-07-08,reported_cases,NA,positivity-adjusted reported cases,104,316,145,226,206,213.044,67.49721492037531
2020-07-09,reported_cases,NA,positivity-adjusted reported cases,110,326,162,251,212,218.98366666666666,68.95452348220849
2020-07-10,reported_cases,NA,positivity-adjusted reported cases,121,360,175,270,238,247.91133333333335,75.99517897405063
2020-07-11,reported_cases,NA,positivity-adjusted reported cases,127,385,178,282,252.5,261.595,82.11274246927375
2020-07-12,reported_cases,NA,positivity-adjusted reported cases,132,379,177,275,244,251.941,77.7497214918743
2020-07-13,reported_cases,NA,positivity-adjusted reported cases,152,444,210,324,288,300.89733333333334,93.76457073150664
2020-07-14,reported_cases,NA,positivity-adjusted reported cases,172,505,239,375,332,345.3983333333333,108.15777533466562
2020-07-15,reported_cases,NA,positivity-adjusted reported cases,192,564,286,435,379,392.397,119.27866751648499
2020-07-16,reported_cases,NA,positivity-adjusted reported cases,194,569,277,420,369,385.06666666666666,119.38590600962969
2020-07-17,reported_cases,NA,positivity-adjusted reported cases,216,621,304,467,409,424.27,131.91434935286
2020-07-18,reported_cases,NA,positivity-adjusted reported cases,227,638,316,481,421,433.654,130.06691900123113
2020-07-19,reported_cases,NA,positivity-adjusted reported cases,198,584,282,430,381,397.62733333333335,124.05519880415734
2020-07-20,reported_cases,NA,positivity-adjusted reported cases,236,687,339,514,449,466.03366666666665,141.74666100191078
2020-07-21,reported_cases,NA,positivity-adjusted reported cases,274,771,358,561,508,523.453,158.31780474760265
2020-07-22,reported_cases,NA,positivity-adjusted reported cases,278,822,394,617,559,574.2606666666667,172.8007506330977
2020-07-23,reported_cases,NA,positivity-adjusted reported cases,287,810,390,605,531,546.1166666666667,167.72946505222168
2020-07-24,reported_cases,NA,positivity-adjusted reported cases,299,853,424,647,565,584.7386666666666,177.444997902587
2020-07-25,reported_cases,NA,positivity-adjusted reported cases,302,857,413,639,566,586.5983333333334,179.79003629124009
2020-07-26,reported_cases,NA,positivity-adjusted reported cases,258,754,365,565,502,519.3266666666667,158.54096326996086
2020-07-27,reported_cases,NA,positivity-adjusted reported cases,276,836,424,648,574.5,593.271,179.68086328231124
2020-07-28,reported_cases,NA,positivity-adjusted reported cases,337,942,442,684,616,639.1773333333333,193.44690517364873
2020-07-29,reported_cases,NA,positivity-adjusted reported cases,340,997,497,772,668,690.688,211.16165467275235
2020-07-30,reported_cases,NA,positivity-adjusted reported cases,331,945,455,703,613,636.0663333333333,197.36803856612153
2020-07-31,reported_cases,NA,positivity-adjusted reported cases,339,961,490,742,641,665.4063333333334,200.5286242317232
2020-08-01,reported_cases,NA,positivity-adjusted reported cases,311,925,467,709,611.5,634.35,201.55817208003273
2020-08-02,reported_cases,NA,positivity-adjusted reported cases,271,811,394,608,540,557.2723333333333,168.2162647857465
2020-08-03,reported_cases,NA,positivity-adjusted reported cases,321,918,415,653,585,608.6076666666667,189.02481460044817
2020-08-04,reported_cases,NA,positivity-adjusted reported cases,331,940,461,703,621,636.7116666666667,188.86625431213182
2020-08-05,reported_cases,NA,positivity-adjusted reported cases,325,954,483,728,626,648.4013333333334,198.99183781098665
2020-08-06,reported_cases,NA,positivity-adjusted reported cases,310,886,418,647,565,586.539,180.78078172936662
2020-08-07,reported_cases,NA,positivity-adjusted reported cases,294,851,405,619,562,584.2283333333334,177.99777882596706
2020-08-08,reported_cases,NA,positivity-adjusted reported cases,276,786,388,598,529.5,542.2313333333333,161.72739945806146
2020-08-09,reported_cases,NA,positivity-adjusted reported cases,236,673,330,506,442,459.79966666666667,138.97198256195847
2020-08-10,reported_cases,NA,positivity-adjusted reported cases,251,706,369,543,466,481.47266666666667,145.33747250173744
2020-08-11,reported_cases,NA,positivity-adjusted reported cases,257,703,340,520,465,480.44466666666665,143.54360264454706
2020-08-12,reported_cases,NA,positivity-adjusted reported cases,249,711,339,527,464,480.722,146.93528521772436
2020-08-13,reported_cases,NA,positivity-adjusted reported cases,221,615,293,453,404,418.7,125.2777481095125
2020-08-14,reported_cases,NA,positivity-adjusted reported cases,203,593,280,436,393,406.349,124.94485291955952
2020-08-15,reported_cases,NA,positivity-adjusted reported cases,199,549,262,404,359,369.51033333333334,109.26273232342528
2020-08-16,reported_cases,NA,positivity-adjusted reported cases,153,446,223,340,293,304.354,92.81455811491008
2020-08-17,reported_cases,NA,positivity-adjusted reported cases,163,456,224,343,302,312.413,93.12842064542187
2020-08-18,reported_cases,NA,positivity-adjusted reported cases,154,454,238,351,301,311.087,94.60821847317258
2020-08-19,reported_cases,NA,positivity-adjusted reported cases,152,445,218,331,289,300.529,92.27749565523258
2020-08-20,reported_cases,NA,positivity-adjusted reported cases,129,379,182,281,251,259.7153333333333,79.49746482662309
2020-08-21,reported_cases,NA,positivity-adjusted reported cases,129,370,164,260,237,245.50033333333334,76.20711586235397
2020-08-22,reported_cases,NA,positivity-adjusted reported cases,107,323,156,243,213,220.74566666666666,68.24444848829863
2020-08-23,reported_cases,NA,positivity-adjusted reported cases,91,264,125,195,172,178.54033333333334,55.50277974488027
2020-08-24,reported_cases,NA,positivity-adjusted reported cases,93,270,127,196,174,181.45066666666668,56.28945786952151
2020-08-25,reported_cases,NA,positivity-adjusted reported cases,83,264,129,199,174,180.803,57.516944668285866
2020-08-26,reported_cases,NA,positivity-adjusted reported cases,90,261,128,197,170,175.33866666666665,54.0478586862151
2020-08-27,reported_cases,NA,positivity-adjusted reported cases,73,222,109,167,144,148.88733333333334,46.506396562149966
2020-08-28,reported_cases,NA,positivity-adjusted reported cases,70,208,100,155,138,143.533,43.84247900520423
2020-08-29,reported_cases,NA,positivity-adjusted reported cases,63,189,92,143,124,128.19833333333332,40.09921420113789
2020-08-30,reported_cases,NA,positivity-adjusted reported cases,52,154,72,113,101,103.927,32.557953628079105
2020-08-31,reported_cases,NA,positivity-adjusted reported cases,49,156,73,116,103,107.159,34.352463515491785
2020-09-01,reported_cases,NA,positivity-adjusted reported cases,50,158,74,117,103,106.13333333333334,34.58333256333101
2020-09-02,reported_cases,NA,positivity-adjusted reported cases,46,151,70,112,99,102.991,33.580105124215805
