date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,9,8.978,3.9754203540943864
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.21075,3.7038850047662297
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.818,4.209133545196722
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.2915,4.365924080108164
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,3,17,6,11,10,10.4855,4.424893746878878
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,9.94675,4.299364554372291
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,9.99325,4.26904680551255
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.72725,4.33111383760212
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.40275,3.786637967151543
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.6955,4.274967670889078
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.872,4.356358624484018
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.84875,4.37254539436773
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.013,4.024721182286891
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.782,4.036217135163883
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.49025,4.051790862050687
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.2285,3.4304124653488253
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.1805,3.9207477368104064
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,1,13,3,8,8,8.26475,3.8887579054258126
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,3,14,4,8,8,8.05575,3.746084652681552
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.21425,3.461552039639269
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.07775,3.361179751193018
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.66425,3.3662077737706637
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.6955,2.956173961579863
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,2,11,4,7,6,6.37475,3.0739509968740224
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,1,11,4,7,6,6.3875,3.161224776177958
