date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,9,9.019,3.905438786234942
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,8,8.00125,3.608670678174427
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,4,16,5,10,9,9.6715,4.041184299513653
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.15775,4.262030755876946
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,4,17,6,11,10,10.53375,4.3222715608070414
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.19875,4.325728426416155
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.026,4.327182123077508
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.875,4.235251980677768
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.432,3.753984429879131
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.7555,4.207926616708388
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.9595,4.243272450629652
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,9.99325,4.282789979674757
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.37525,4.1447837392994815
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.06575,4.046667865998447
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,14,5,9,8,8.62,3.9332515323716875
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.25375,3.494554895259051
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.17075,3.6984475210575187
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,2,14,5,9,8,8.28775,3.8286570218743528
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,1,13,5,9,8,8.117,3.789182032460143
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.44925,3.4355312771519158
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.10225,3.3528503305150243
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.67325,3.252864848088525
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.5645,2.91795619691108
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,2,11,2,6,6,6.42325,3.1492203534698358
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,2,11,2,6,6,6.28175,3.1716528471675045
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,1,10,4,7,6,6.1935,3.0813846697338385
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.71375,2.9268502781382
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.56975,2.8540622549865367
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.303,2.784713568289269
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,1,8,1,4,4,4.49525,2.5871124299460386
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.25175,2.8179526525099647
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.412,2.861695882834418
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.53375,2.917274166004956
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.41175,2.84442166725598
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.4525,2.818905870648556
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.6395,2.8449188285055156
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,4.98525,2.770821502812859
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,2,11,4,7,6,6.2745,3.134342957693703
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,6,6.91225,3.42366474812837
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,1,12,4,8,7,7.507,3.5267634617491406
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.76275,3.5835977705017603
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,2,14,5,9,8,8.49425,3.8000101258732437
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.0435,3.956073859282082
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.77975,3.911785456011547
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,3,18,5,11,11,11.29825,4.744198962253623
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,4,21,8,14,13,13.31625,5.424858819435092
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,6,24,9,16,15,15.26875,6.04153527463166
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,6,25,9,17,16,16.56825,6.293865674113243
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,6,28,13,21,18,18.64425,6.955845590902023
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,8,32,14,23,20,21.01925,7.75086436548228
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,8,31,12,21,20,20.39225,7.3984507977043075
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,11,40,19,30,26,27.15075,9.282002118526588
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,14,49,20,34,32,32.856,11.079347994715077
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,18,57,27,42,36,37.6055,12.409265377805577
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,18,61,27,44,40,40.9705,13.526986900032409
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,20,69,31,50,45,46.92775,15.583155605401478
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,25,77,38,59,51,52.46425,16.760070015493106
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,23,76,33,54,50,51.446,16.77401042853092
2020-06-29,reported_cases,NA,positivity-adjusted reported cases,33,100,48,75,67,69.05125,21.612748579548846
2020-06-30,reported_cases,NA,positivity-adjusted reported cases,41,120,53,86,80,82.01575,25.122137297274207
2020-07-01,reported_cases,NA,positivity-adjusted reported cases,47,140,66,103,91,94.92,29.721497974706207
2020-07-02,reported_cases,NA,positivity-adjusted reported cases,50,150,73,112,98,101.6405,31.67962530420544
2020-07-03,reported_cases,NA,positivity-adjusted reported cases,57,165,78,120,109,112.65175,34.19204214249229
2020-07-04,reported_cases,NA,positivity-adjusted reported cases,62,185,90,139,124,127.93625,38.85381050276982
2020-07-05,reported_cases,NA,positivity-adjusted reported cases,61,177,92,139,117,121.63125,37.42193038387937
2020-07-06,reported_cases,NA,positivity-adjusted reported cases,80,234,110,171,156,161.3015,48.51110625008877
2020-07-07,reported_cases,NA,positivity-adjusted reported cases,94,266,131,200,182,186.60425,54.131235711069834
2020-07-08,reported_cases,NA,positivity-adjusted reported cases,112,307,148,229,203,211.0295,62.83103583831902
2020-07-09,reported_cases,NA,positivity-adjusted reported cases,110,317,160,243,216,222.7515,65.54179337964331
2020-07-10,reported_cases,NA,positivity-adjusted reported cases,122,349,177,266,235.5,243.69725,71.7878608587773
2020-07-11,reported_cases,NA,positivity-adjusted reported cases,134,381,189,285,256,263.7555,77.73471483978574
2020-07-12,reported_cases,NA,positivity-adjusted reported cases,127,355,172,265,238,246.39725,72.70700117211796
2020-07-13,reported_cases,NA,positivity-adjusted reported cases,176,467,219,337,307,315.53775,91.51700068998832
2020-07-14,reported_cases,NA,positivity-adjusted reported cases,194,528,274,406,348,357.45025,105.66115224959066
2020-07-15,reported_cases,NA,positivity-adjusted reported cases,205,571,296,440,381,391.627,114.13947531838619
2020-07-16,reported_cases,NA,positivity-adjusted reported cases,207,567,286,432,383,395.2735,113.92462377697669
2020-07-17,reported_cases,NA,positivity-adjusted reported cases,217,599,298,451,402,412.585,120.29392516710072
2020-07-18,reported_cases,NA,positivity-adjusted reported cases,248,640,316,473,422,435.507,122.01142220213215
2020-07-19,reported_cases,NA,positivity-adjusted reported cases,210,568,299,442,381,390.57525,114.30352646125083
2020-07-20,reported_cases,NA,positivity-adjusted reported cases,262,703,346,524,471,486.27825,140.0085869796725
2020-07-21,reported_cases,NA,positivity-adjusted reported cases,278,764,409,606,515,531.27975,153.60465841799663
2020-07-22,reported_cases,NA,positivity-adjusted reported cases,297,831,414,622,550,568.97525,168.13942385383916
2020-07-23,reported_cases,NA,positivity-adjusted reported cases,294,809,397,607,547,563.50275,163.7097101876976
2020-07-24,reported_cases,NA,positivity-adjusted reported cases,317,845,419,635,563,579.13,168.36390409185177
2020-07-25,reported_cases,NA,positivity-adjusted reported cases,315,848,432,646,569,587.26825,167.50664885696423
2020-07-26,reported_cases,NA,positivity-adjusted reported cases,271,741,361,551,496,512.12,150.8062124994594
2020-07-27,reported_cases,NA,positivity-adjusted reported cases,326,907,476,710,613,629.42575,186.3035298598689
2020-07-28,reported_cases,NA,positivity-adjusted reported cases,363,959,476,714,644,660.37925,189.5764930868811
2020-07-29,reported_cases,NA,positivity-adjusted reported cases,398,1017,522,764,661.5,685.00475,196.81863636694274
2020-07-30,reported_cases,NA,positivity-adjusted reported cases,342,922,486,724,630,645.729,184.59635021345366
2020-07-31,reported_cases,NA,positivity-adjusted reported cases,343,938,485,724,632,651.21275,187.2894493074636
2020-08-01,reported_cases,NA,positivity-adjusted reported cases,334,914,470,711,627,645.691,187.1754996945954
2020-08-02,reported_cases,NA,positivity-adjusted reported cases,284,779,388,589,530,542.9055,156.39049065125903
2020-08-03,reported_cases,NA,positivity-adjusted reported cases,325,910,477,707,616,636.119,186.63709355369994
