date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,8,8.754,4.475432250775012
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,1,15,4,9,8,9.02,4.510918176409849
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,8,8.826333333333332,4.471782512060183
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,2,16,5,10,9,9.631666666666666,4.7873761302296884
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,1,16,3,9,9,9.864,4.874774368287613
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,2,18,5,11,10,11.228,5.2203863341543935
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,2,18,5,11,10,10.847333333333333,5.212269064923382
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,1,16,5,10,9,9.583,4.840618575767498
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,2,16,5,10,9,9.416333333333334,4.659352932057273
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,1,15,5,10,8,9.086,4.599237798749174
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,2,16,5,10,9,9.252666666666666,4.837764036809516
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,2,16,5,10,9,9.294333333333332,4.715129411869744
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,2,17,4,10,9,10.166333333333334,5.138819810543788
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,1,16,4,10,9,9.781333333333333,4.883796546928713
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,8,8.345333333333333,4.3639156127703345
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,8,8.235666666666667,4.411721015241973
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,1,13,2,7,7,7.634333333333333,4.027740738185644
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,1,13,2,7,7,7.821,4.12552610647641
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,1,13,2,7,7,7.63,4.090233490075407
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,8,8.288333333333334,4.34819880331691
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,7,7.828333333333333,4.086534449892591
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,0,11,3,7,6,6.69,3.627067484830296
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,0,11,2,6,6,6.528,3.632209655612881
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.050333333333334,3.499888040255049
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,0,10,2,6,6,5.995333333333333,3.440919188798758
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,5,5.931,3.3451411016074077
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.327,3.515706339227993
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.102,3.533330460257073
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.113333333333333,3.032307237833445
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,4.997,2.9400463075882985
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,4,4.851333333333334,2.975149642290322
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.015,2.9836905228891943
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.204666666666666,3.0869544837726144
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,0,10,1,5,5,5.719333333333333,3.3969210440851882
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,0,10,1,5,5,5.692,3.3529415054415983
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.2156666666666665,3.0387880204285267
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.258,3.1134119190890845
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.371,3.0950312986430135
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,0,10,1,5,5,5.826666666666667,3.413576773857478
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,0,11,2,6,6,6.418,3.602999195263166
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,2,14,2,7,7,7.726333333333334,4.2219325899190014
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.037666666666667,4.198506525091508
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,1,13,2,7,7,7.810333333333333,4.11444643243422
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,8,8.378666666666666,4.4570431117489635
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,1,15,4,9,8,9.049333333333333,4.6560490210461
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,1,17,5,11,10,10.487333333333334,5.11337022656423
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,2,20,6,13,11,12.143333333333333,5.9362616145355
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,3,25,8,16,14,15.479333333333333,7.237474230233914
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,5,28,9,18,16,16.965,7.811494616869625
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,4,27,8,17,16,16.831,7.440086735395635
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,5,31,10,20,18,19.098,8.567157914476493
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,6,34,13,24,20,21.413,9.04645660608111
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,8,42,15,28,24,25.827666666666666,11.295655440603399
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,9,48,17,32,28,30.091333333333335,12.771296993565487
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,14,63,19,39,36,38.80833333333333,16.48852796361836
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,14,69,23,45,41,43.24933333333333,17.91474659614504
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,14,70,24,46,42,44.22233333333333,18.25093422509978
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,17,81,28,53,47,49.996,20.55078495469418
2020-06-29,reported_cases,NA,positivity-adjusted reported cases,17,88,32,59,53,55.748333333333335,22.46545264941565
2020-06-30,reported_cases,NA,positivity-adjusted reported cases,22,105,42,74,63,67.02766666666666,27.47591448003858
2020-07-01,reported_cases,NA,positivity-adjusted reported cases,26,123,43,81,73,77.373,31.213361919549353
2020-07-02,reported_cases,NA,positivity-adjusted reported cases,36,153,56,104,94,98.593,38.47097637190495
2020-07-03,reported_cases,NA,positivity-adjusted reported cases,43,175,62,116,103,109.37433333333334,43.47407894062239
