date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.904333333333334,3.9959776235540745
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.127,3.709823706140704
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.201,4.0896015225860145
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,9,9.869,4.3228927198295954
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,2,16,6,11,10,10.277666666666667,4.436041107691098
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.668,4.199482652841558
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.934,4.449072047145737
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.705333333333334,4.297673194553608
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,2,14,5,9,8,8.490666666666666,3.8906244411066115
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.355,4.211914260829652
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.572,4.301974546065834
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.705333333333334,4.313626550080579
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,1,14,4,9,9,9.000666666666667,4.144038759628421
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.045666666666667,4.135127686365893
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.543666666666667,4.001761852175789
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.294666666666667,3.571566918357589
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.812333333333333,3.831362812702082
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.942666666666667,3.7133959289753453
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,7.984333333333334,3.7519924090943366
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.177333333333333,3.5353527587213165
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.242333333333334,3.5069988455263377
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,6,6.9173333333333336,3.424384376547363
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.745333333333333,3.028234076613488
