date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,9,9.085,3.950735514268354
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,8,8.119,3.6020129324756605
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.188666666666666,4.033422168211245
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,4,17,6,11,10,10.368333333333334,4.379390015499667
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,3,17,7,12,10,10.811666666666667,4.69924371781198
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,9.89,4.196320177768229
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.082666666666666,4.287885439553682
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.871,4.303083914712682
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.439666666666668,3.6670845447814644
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.336666666666666,4.115697819941423
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,9.966666666666667,4.3060116272795845
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,9.952333333333334,4.218450702686855
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.069666666666667,4.033803467245234
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,8.973333333333333,4.048137599962683
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.484666666666667,3.7785169867416575
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.247,3.412018702157804
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.768,3.609596338730439
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.218666666666667,3.8080202942924037
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.181,3.7220321744761886
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.195666666666667,3.428211209886105
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.1,3.430440589906826
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.759333333333333,3.2942925912525056
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.602333333333333,2.92410294191122
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,1,10,4,7,6,5.968333333333334,3.061228663330889
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,2,11,4,7,6,6.259,3.1140249491284746
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,2,11,4,7,6,6.368,3.2009360084893106
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.524666666666667,2.8779887355482945
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.583666666666667,2.875254583254916
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.352666666666667,2.805396520773575
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,1,8,1,4,4,4.64,2.5685143089443265
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.103,2.7641040303077333
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.572333333333333,2.961929365139708
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.743,3.058769309689214
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.291,2.8624669265574427
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.5393333333333334,2.92209384398127
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.59,2.9542301578033983
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.023333333333333,2.737021370800192
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,6,5.972666666666667,3.045490309615877
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.797666666666666,3.3804147117521
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.663,3.613094124115309
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,1,12,4,8,7,7.535333333333333,3.5960713005290073
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,1,13,3,8,8,8.369666666666667,3.886650044928941
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,1,14,4,9,9,8.994,4.095308842831359
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.659333333333333,4.004408985022467
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,3,17,7,12,10,10.894666666666666,4.635738155350293
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,3,20,6,13,13,13.145333333333333,5.45962276313979
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,5,24,9,16,14,15.156666666666666,6.057476363595712
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,6,25,8,16,15,15.818333333333333,6.3886045929532935
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,6,28,13,21,18,18.466666666666665,6.926197583080887
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,8,31,13,22,20,20.381666666666668,7.564372884423428
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,7,31,12,21,19,20.305333333333333,7.646410536122022
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,9,38,18,29,25,26.00733333333333,9.284072968935549
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,14,49,19,33,30,31.954666666666668,11.334700556305958
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,18,58,28,43,36,37.846333333333334,12.769119130021242
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,18,59,25,41,38,40.00266666666667,13.16866726316872
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,19,68,29,49,45,46.488,15.590473917074693
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,26,79,34,55,50,52.085,17.179565986829584
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,22,75,36,57,50,51.69133333333333,16.949803051856417
2020-06-29,reported_cases,NA,positivity-adjusted reported cases,32,96,45,71,64,65.72333333333333,20.673217364365108
2020-06-30,reported_cases,NA,positivity-adjusted reported cases,43,124,60,92,79,82.23433333333334,26.018385935547947
2020-07-01,reported_cases,NA,positivity-adjusted reported cases,48,142,66,104,91,94.80533333333334,29.6467043797859
2020-07-02,reported_cases,NA,positivity-adjusted reported cases,48,147,73,113,96,99.02766666666666,31.51868298350298
2020-07-03,reported_cases,NA,positivity-adjusted reported cases,54,165,77,123,110,114.21333333333334,35.59458030287572
2020-07-04,reported_cases,NA,positivity-adjusted reported cases,62,184,86,136,122,126.173,38.49018362836489
2020-07-05,reported_cases,NA,positivity-adjusted reported cases,62,185,88,135,120,124.587,38.543070545763456
2020-07-06,reported_cases,NA,positivity-adjusted reported cases,75,222,115,174,152,155.14666666666668,47.00879099735034
2020-07-07,reported_cases,NA,positivity-adjusted reported cases,87,264,134,205,179,185.024,56.67499250632384
2020-07-08,reported_cases,NA,positivity-adjusted reported cases,107,315,150,233,207,214.56133333333332,66.1229737240161
2020-07-09,reported_cases,NA,positivity-adjusted reported cases,107,307,155,235,211.5,216.68,63.543991687857805
2020-07-10,reported_cases,NA,positivity-adjusted reported cases,130,366,175,269,237,245.45266666666666,74.33626562016016
2020-07-11,reported_cases,NA,positivity-adjusted reported cases,141,395,185,289,255,263.028,80.66945561790966
2020-07-12,reported_cases,NA,positivity-adjusted reported cases,123,358,184,278,240,248.77966666666666,74.61485718134796
2020-07-13,reported_cases,NA,positivity-adjusted reported cases,151,442,215,331,294,303.20633333333336,92.228946031335
2020-07-14,reported_cases,NA,positivity-adjusted reported cases,179,509,250,380,341,352.3826666666667,105.04142738325258
2020-07-15,reported_cases,NA,positivity-adjusted reported cases,206,571,286,432,376,389.9223333333333,117.31787074221636
2020-07-16,reported_cases,NA,positivity-adjusted reported cases,198,558,287,432,374,385.51366666666667,116.46019408145737
2020-07-17,reported_cases,NA,positivity-adjusted reported cases,225,608,307,458,402,417.60566666666665,124.54321809026635
2020-07-18,reported_cases,NA,positivity-adjusted reported cases,223,620,306,470,423,436.369,128.15141734522174
2020-07-19,reported_cases,NA,positivity-adjusted reported cases,211,585,295,448,383.5,396.3063333333333,118.64218958534701
2020-07-20,reported_cases,NA,positivity-adjusted reported cases,237,677,334,510,454,468.193,139.46513755247526
2020-07-21,reported_cases,NA,positivity-adjusted reported cases,275,765,415,610,516,529.2226666666667,153.63216688068846
2020-07-22,reported_cases,NA,positivity-adjusted reported cases,303,832,419,634,553,573.3326666666667,170.15752268725757
2020-07-23,reported_cases,NA,positivity-adjusted reported cases,296,815,393,602,530,548.4253333333334,166.01083184635573
2020-07-24,reported_cases,NA,positivity-adjusted reported cases,295,855,453,677,566,583.329,177.41024836352645
2020-07-25,reported_cases,NA,positivity-adjusted reported cases,314,857,415,637,569,586.9523333333333,173.61559699441983
2020-07-26,reported_cases,NA,positivity-adjusted reported cases,269,758,397,590,506,524.4193333333334,154.17575538133318
2020-07-27,reported_cases,NA,positivity-adjusted reported cases,300,856,443,658,576,593.1243333333333,176.44732574003257
2020-07-28,reported_cases,NA,positivity-adjusted reported cases,352,963,492,730,642,662.4636666666667,194.68311136606744
2020-07-29,reported_cases,NA,positivity-adjusted reported cases,356,993,505,756,664,684.432,200.78258371841306
2020-07-30,reported_cases,NA,positivity-adjusted reported cases,328,920,483,719,614,633.2056666666666,185.61790512624776
2020-07-31,reported_cases,NA,positivity-adjusted reported cases,356,944,481,726,631.5,652.091,188.63714385829303
2020-08-01,reported_cases,NA,positivity-adjusted reported cases,355,945,496,737,627,642.237,184.71335046032658
2020-08-02,reported_cases,NA,positivity-adjusted reported cases,311,824,402,607,536.5,553.2596666666667,162.2245537575498
2020-08-03,reported_cases,NA,positivity-adjusted reported cases,318,896,435,672,591.5,610.7853333333334,184.14149074672724
2020-08-04,reported_cases,NA,positivity-adjusted reported cases,339,950,471,711,627,649.3123333333333,194.6027308531599
2020-08-05,reported_cases,NA,positivity-adjusted reported cases,332,923,474,710,627,643.6556666666667,187.82908282799966
2020-08-06,reported_cases,NA,positivity-adjusted reported cases,317,848,437,651,560,578.748,169.26851776502562
2020-08-07,reported_cases,NA,positivity-adjusted reported cases,306,831,419,632,563,577.7386666666666,167.18060939277976
2020-08-08,reported_cases,NA,positivity-adjusted reported cases,300,796,395,590,529,546.363,157.70077703050592
2020-08-09,reported_cases,NA,positivity-adjusted reported cases,239,660,335,500,437,451.0473333333333,132.25645169856247
2020-08-10,reported_cases,NA,positivity-adjusted reported cases,255,695,345,528,463.5,474.82233333333335,138.72578605217618
2020-08-11,reported_cases,NA,positivity-adjusted reported cases,246,716,355,537,474,491.379,146.66928553304174
2020-08-12,reported_cases,NA,positivity-adjusted reported cases,264,709,355,527,463,479.779,140.4074864329373
2020-08-13,reported_cases,NA,positivity-adjusted reported cases,223,604,302,456,403,415.25966666666665,122.22562991488972
2020-08-14,reported_cases,NA,positivity-adjusted reported cases,216,587,286,434,388,400.1673333333333,120.14687021737144
2020-08-15,reported_cases,NA,positivity-adjusted reported cases,184,530,273,412,352,364.26433333333335,108.29186875061946
2020-08-16,reported_cases,NA,positivity-adjusted reported cases,154,432,231,340,291,299.559,86.40237444134874
2020-08-17,reported_cases,NA,positivity-adjusted reported cases,161,448,213,333,302,311.01533333333333,91.3952704650338
2020-08-18,reported_cases,NA,positivity-adjusted reported cases,162,461,218,342,307,316.6256666666667,95.31916275764542
2020-08-19,reported_cases,NA,positivity-adjusted reported cases,150,431,230,344,291.5,301.7916666666667,89.81116641279282
2020-08-20,reported_cases,NA,positivity-adjusted reported cases,144,386,193,289,252,258.93666666666667,75.14244773343945
2020-08-21,reported_cases,NA,positivity-adjusted reported cases,129,358,172,263,239,247.59566666666666,73.53775979223627
2020-08-22,reported_cases,NA,positivity-adjusted reported cases,106,323,166,251,216,224.33066666666667,68.05285977432085
2020-08-23,reported_cases,NA,positivity-adjusted reported cases,92,263,129,197,174,180.57433333333333,54.568162598215984
2020-08-24,reported_cases,NA,positivity-adjusted reported cases,96,273,134,204,180,187.32033333333334,56.91316270645986
2020-08-25,reported_cases,NA,positivity-adjusted reported cases,93,272,141,211,182,187.299,56.49871651039907
2020-08-26,reported_cases,NA,positivity-adjusted reported cases,87,253,130,197,172,177.51766666666666,53.14911065932193
2020-08-27,reported_cases,NA,positivity-adjusted reported cases,79,224,111,169,147,152.808,45.86269651518412
2020-08-28,reported_cases,NA,positivity-adjusted reported cases,71,208,105,162,142,145.30066666666667,43.82599501249421
2020-08-29,reported_cases,NA,positivity-adjusted reported cases,69,193,95,145,127,130.993,38.996852896679776
2020-08-30,reported_cases,NA,positivity-adjusted reported cases,51,151,78,118,103,105.684,31.93893406439425
2020-08-31,reported_cases,NA,positivity-adjusted reported cases,58,162,75,116,106,109.80866666666667,33.329381544121
2020-09-01,reported_cases,NA,positivity-adjusted reported cases,52,159,81,125,106,109.51133333333334,33.94865793146083
2020-09-02,reported_cases,NA,positivity-adjusted reported cases,51,154,72,113,100,104.30866666666667,33.12109691081724
2020-09-03,reported_cases,NA,positivity-adjusted reported cases,43,129,63,98,87,89.70033333333333,27.626417421290817
2020-09-04,reported_cases,NA,positivity-adjusted reported cases,38,122,59,92,82,84.95333333333333,26.48748794987652
2020-09-05,reported_cases,NA,positivity-adjusted reported cases,39,113,51,82,75,77.01166666666667,24.051687919689773
2020-09-06,reported_cases,NA,positivity-adjusted reported cases,29,91,41,66,60,62.09866666666667,19.702072364111913
2020-09-07,reported_cases,NA,positivity-adjusted reported cases,26,94,47,72,62,64.53933333333333,21.229790882056616
2020-09-08,reported_cases,NA,positivity-adjusted reported cases,31,96,43,69,63,65.187,21.038367378846736
