date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,1,15,4,9,8,8.800333333333333,4.62560972312398
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,1,15,4,9,8,8.905333333333333,4.748391372780743
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,1,15,4,9,8,9.020333333333333,4.621006866153873
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,1,16,3,9,9,9.554666666666666,4.843913643809633
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,1,16,4,10,9,9.834,4.960508664986397
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,2,19,6,12,10,11.157,5.60941228371769
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,2,19,6,12,10,11.058666666666667,5.55627413677396
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,2,16,5,10,9,9.428,4.832176801837319
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,1,16,5,10,9,9.319333333333333,4.844775554376038
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,1,16,5,10,8,9.201,4.858442873567474
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,1,16,5,10,9,9.332666666666666,4.93519181609416
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,1,16,3,9,9,9.490333333333334,5.0155383656447725
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,2,18,5,11,10,10.431333333333333,5.486223756458006
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,3,18,4,10,9,9.925333333333333,5.154992680764458
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,8,8.409,4.480819669990264
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,7,7.9543333333333335,4.273679445266009
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,0,13,3,8,7,7.876,4.304586757833855
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,1,14,2,7,7,7.825,4.331277138891556
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,2,14,2,7,7,7.790666666666667,4.166529276383307
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,0,14,3,8,8,8.418333333333333,4.572632379477731
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,1,14,2,7,7,7.817666666666667,4.316167009601669
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,6,6.666333333333333,3.7546902830898756
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,0,11,2,6,6,6.323333333333333,3.6380215258337465
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,5,5.892666666666667,3.4371137318721594
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,1,11,1,5,5,6.016,3.5118639489780983
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,5,6.004,3.5181590566254823
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,0,11,2,6,6,6.462,3.6986190117661573
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.040333333333334,3.4717033471000436
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.257333333333333,3.2023737999917885
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,4.962,2.9940291810388726
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,4,4.866666666666666,2.9590213739319315
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.013,3.0298334877769357
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.267666666666667,3.1081465131389696
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,5,5.971666666666667,3.5156294513266375
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,0,10,1,5,5,5.834333333333333,3.5455716391443834
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.225666666666666,3.160707396449548
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,0,9,1,5,5,5.259333333333333,3.245652113433606
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.405666666666667,3.200913906813985
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,1,11,1,5,5,5.930666666666666,3.5000871073172584
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,6,6.654333333333334,3.8914301953408628
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,7,7.840333333333334,4.297013846640668
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,8,8.188,4.405351863549671
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,1,14,3,8,7,7.8886666666666665,4.281555261900648
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,8,8.53,4.511601879285493
