date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.1295,4.092849570214022
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.32225,3.7724611069169156
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.6945,4.233160717763455
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.294,4.385073684421329
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,4,17,6,11,10,10.68375,4.479146305425438
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.1835,4.37888357978964
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.06775,4.299683913724297
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.7385,4.175521104499836
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.4765,3.858324690504201
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.8655,4.29622207654967
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.03,4.285171020235735
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.0185,4.38029159858361
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.18325,4.03636501051683
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,8,9.0035,4.063079485282799
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,14,6,10,8,8.48225,3.889211543373191
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.33825,3.5175176147451643
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,1,13,5,9,8,8.19675,3.8163700826376776
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,3,14,5,9,8,8.194,3.812348029676048
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.1045,3.7369868902304755
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.3985,3.616208925345428
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.00475,3.4745856765815946
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.69625,3.276609525102892
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.70675,2.9888940779914503
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.31475,3.176980600969218
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.36575,3.277905291993016
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,2,11,2,6,6,6.135,3.1548792870455373
