date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.684666666666667,3.8840176904886645
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.830666666666667,3.6684890840247513
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.443333333333333,4.1185486565740295
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,4,17,6,11,10,10.273333333333333,4.343298704529521
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,3,16,6,11,10,10.16,4.228438628037189
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,4,17,5,10,10,10.155333333333333,4.358386941801639
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.717,4.163655005841529
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.454666666666666,4.1072579756144245
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,8,8.137666666666666,3.6918727673633365
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.330666666666668,4.244918452272596
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.862,4.278363097836872
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.633666666666667,4.196506894103671
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.279,4.196788058742463
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,2,14,6,10,8,8.833,3.9552065541884702
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,14,5,9,8,8.283666666666667,3.9025987044239483
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.039666666666666,3.338434004553104
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,1,13,5,9,8,8.017666666666667,3.8141233682081555
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,8,7.967333333333333,3.7380374347389913
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.818333333333333,3.698994197739956
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.3693333333333335,3.536160021565992
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.112666666666667,3.4502088153006936
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.659666666666666,3.3603973940251195
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,9,3,6,5,5.507666666666666,2.842645733668655
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,2,11,2,6,6,6.227666666666667,3.06120208550361
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.3453333333333335,3.301572102550289
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,1,10,4,7,6,6.1963333333333335,3.106284418698998
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,6,5.872333333333334,3.0052806512570216
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.573666666666667,2.9057507953683532
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.230666666666667,2.738118329476947
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,1,8,1,4,4,4.592333333333333,2.5568836057748205
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.343,2.8976110361075365
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.491666666666666,2.8952935597542795
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.5826666666666664,2.9328086670939655
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.565333333333333,2.9186591235100816
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,1,9,3,6,5,5.521,2.9020164655842624
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.5343333333333335,2.9483982498359063
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.018,2.7814123663318715
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,0,10,2,6,6,6.261,3.2032742606063076
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,6.935,3.4239377111472993
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,1,12,4,8,7,7.4463333333333335,3.5444756534794055
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.8886666666666665,3.621690733641624
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.246333333333334,3.7473102353851484
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.047333333333333,4.105936246425265
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.495333333333333,3.8998779346098993
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,3,18,5,11,11,11.267,4.830267918316841
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,4,21,9,15,13,13.322,5.453888304003318
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,5,23,9,16,14,14.955333333333334,5.857540025238523
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,5,25,11,18,16,16.330333333333332,6.342183192831895
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,8,29,9,18,17,18.217333333333332,6.933550624582144
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,7,31,13,22,19,20.235666666666667,7.636419286685541
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,7,30,12,21,19,19.73,7.246972209279359
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,10,40,16,28,26,26.570333333333334,9.50416555743866
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,16,49,19,33,31,32.08833333333333,10.831080339590466
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,15,54,25,40,35,36.924,12.543178801436856
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,18,60,26,43,40,41.015,13.665687883958883
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,22,69,28,47,44,45.89066666666667,14.980972022195317
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,25,77,37,57,49,51.32833333333333,16.70952622441573
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,23,74,33,54,49,50.553666666666665,16.374385282711668
2020-06-29,reported_cases,NA,positivity-adjusted reported cases,30,98,51,78,66,67.917,21.563822569632798
2020-06-30,reported_cases,NA,positivity-adjusted reported cases,41,122,56,88,79,81.70566666666667,25.81680080148255
2020-07-01,reported_cases,NA,positivity-adjusted reported cases,45,135,63,100,89,92.238,28.722227364561995
2020-07-02,reported_cases,NA,positivity-adjusted reported cases,53,153,76,115,100,102.426,31.295649269843782
2020-07-03,reported_cases,NA,positivity-adjusted reported cases,57,162,78,122,109,112.17966666666666,34.017394289691104
2020-07-04,reported_cases,NA,positivity-adjusted reported cases,60,183,84,134,119,123.52133333333333,39.40661330216293
2020-07-05,reported_cases,NA,positivity-adjusted reported cases,59,176,87,135,117,120.49233333333333,37.65234619888003
2020-07-06,reported_cases,NA,positivity-adjusted reported cases,76,229,109,170,152,157.332,48.84750217588348
2020-07-07,reported_cases,NA,positivity-adjusted reported cases,98,277,133,204,183,188.173,56.392456121090554
2020-07-08,reported_cases,NA,positivity-adjusted reported cases,106,303,151,228,201,208.30233333333334,63.86878216312376
2020-07-09,reported_cases,NA,positivity-adjusted reported cases,114,328,157,241,216,223.08866666666665,67.34262504490155
2020-07-10,reported_cases,NA,positivity-adjusted reported cases,126,355,180,271,235,242.31166666666667,72.19770102457072
2020-07-11,reported_cases,NA,positivity-adjusted reported cases,130,376,188,281,250,258.47833333333335,76.4228653524047
2020-07-12,reported_cases,NA,positivity-adjusted reported cases,123,352,171,263,236,242.70633333333333,72.07637450054354
2020-07-13,reported_cases,NA,positivity-adjusted reported cases,169,460,219,334,299,310.159,91.18963520519361
2020-07-14,reported_cases,NA,positivity-adjusted reported cases,189,524,246,379,341,352.24066666666664,106.56786092696868
2020-07-15,reported_cases,NA,positivity-adjusted reported cases,196,558,291,432,371,382.138,112.81967196427836
2020-07-16,reported_cases,NA,positivity-adjusted reported cases,216,586,285,437,384,395.01466666666664,117.81138156150575
2020-07-17,reported_cases,NA,positivity-adjusted reported cases,214,600,310,467,398.5,410.28366666666665,122.14831396062479
2020-07-18,reported_cases,NA,positivity-adjusted reported cases,224,614,291,444,404,421.323,125.41118235316873
2020-07-19,reported_cases,NA,positivity-adjusted reported cases,212,572,283,430,374.5,389.259,115.42468917851726
2020-07-20,reported_cases,NA,positivity-adjusted reported cases,253,697,359,538,467,479.684,140.98189520499383
2020-07-21,reported_cases,NA,positivity-adjusted reported cases,290,783,397,591,519,532.6966666666667,155.5910500227159
2020-07-22,reported_cases,NA,positivity-adjusted reported cases,291,802,418,622,536,553.442,161.78876713498073
2020-07-23,reported_cases,NA,positivity-adjusted reported cases,291,810,415,627,549,562.769,167.40254132663043
2020-07-24,reported_cases,NA,positivity-adjusted reported cases,315,820,420,630,557,573.1816666666666,162.3671755531926
2020-07-25,reported_cases,NA,positivity-adjusted reported cases,307,838,411,628,561,575.9383333333334,169.1343450419808
2020-07-26,reported_cases,NA,positivity-adjusted reported cases,276,750,352,550,490,511.6773333333333,154.87334331762523
2020-07-27,reported_cases,NA,positivity-adjusted reported cases,338,920,437,666,595,614.7953333333334,181.95580988380772
2020-07-28,reported_cases,NA,positivity-adjusted reported cases,348,951,483,727,640,657.1756666666666,193.80866356774024
2020-07-29,reported_cases,NA,positivity-adjusted reported cases,383,982,496,738,644,667.0773333333333,191.2702489208998
2020-07-30,reported_cases,NA,positivity-adjusted reported cases,334,941,503,748,637,653.2166666666667,190.25804169521663
2020-07-31,reported_cases,NA,positivity-adjusted reported cases,335,919,474,713,628,646.3713333333334,186.8922283382234
2020-08-01,reported_cases,NA,positivity-adjusted reported cases,306,905,442,677,609,629.677,185.4371330517115
2020-08-02,reported_cases,NA,positivity-adjusted reported cases,285,781,395,598,518,535.0406666666667,157.50067460296486
2020-08-03,reported_cases,NA,positivity-adjusted reported cases,353,914,438,664,608,624.0396666666667,177.3044642723523
2020-08-04,reported_cases,NA,positivity-adjusted reported cases,323,927,481,722,629,647.799,191.27464005536498
2020-08-05,reported_cases,NA,positivity-adjusted reported cases,350,932,470,708,624,641.9383333333334,188.1506349117504
2020-08-06,reported_cases,NA,positivity-adjusted reported cases,320,876,464,686,584,600.1166666666667,173.72420985358366
2020-08-07,reported_cases,NA,positivity-adjusted reported cases,286,820,412,623,548,564.2386666666666,167.59336766068688
2020-08-08,reported_cases,NA,positivity-adjusted reported cases,264,763,380,578,513,531.091,157.1800726685204
2020-08-09,reported_cases,NA,positivity-adjusted reported cases,239,653,311,474,425,439.2726666666667,128.4841639256843
2020-08-10,reported_cases,NA,positivity-adjusted reported cases,250,698,345,523,471,486.43066666666664,145.6340446159687
2020-08-11,reported_cases,NA,positivity-adjusted reported cases,258,716,358,539,475,492.4273333333333,146.86683313503403
2020-08-12,reported_cases,NA,positivity-adjusted reported cases,248,675,352,519,457,468.63866666666667,135.8553139446444
2020-08-13,reported_cases,NA,positivity-adjusted reported cases,216,610,319,476,409.5,425.182,124.72433174395574
2020-08-14,reported_cases,NA,positivity-adjusted reported cases,206,573,284,429,380,392.9406666666667,116.80357373742824
2020-08-15,reported_cases,NA,positivity-adjusted reported cases,192,518,268,398,347,356.917,104.33440468193339
2020-08-16,reported_cases,NA,positivity-adjusted reported cases,158,425,212,318,282,291.4336666666667,85.91545508053903
2020-08-17,reported_cases,NA,positivity-adjusted reported cases,161,454,231,352,309,314.947,92.29916884705203
2020-08-18,reported_cases,NA,positivity-adjusted reported cases,162,460,229,346,303,314.21233333333333,93.66359059931919
2020-08-19,reported_cases,NA,positivity-adjusted reported cases,154,422,207,317,282,292.4483333333333,86.66389602470156
2020-08-20,reported_cases,NA,positivity-adjusted reported cases,133,375,207,304,260,265.88533333333334,77.4164406741301
2020-08-21,reported_cases,NA,positivity-adjusted reported cases,121,348,169,260,234,241.575,72.36525836711643
2020-08-22,reported_cases,NA,positivity-adjusted reported cases,110,318,163,247,213,218.86966666666666,65.04063940963239
2020-08-23,reported_cases,NA,positivity-adjusted reported cases,93,259,131,196,171,176.006,52.635204811943105
2020-08-24,reported_cases,NA,positivity-adjusted reported cases,105,287,132,205,187,192.66533333333334,57.405950440155024
2020-08-25,reported_cases,NA,positivity-adjusted reported cases,101,277,138,207,183,189.38533333333334,55.680232407763434
2020-08-26,reported_cases,NA,positivity-adjusted reported cases,90,257,121,188,171,177.89033333333333,53.71844062805676
2020-08-27,reported_cases,NA,positivity-adjusted reported cases,84,235,112,172,155,159.61233333333334,48.029577637100054
2020-08-28,reported_cases,NA,positivity-adjusted reported cases,79,216,99,154,139,144.12033333333332,43.1013816049359
2020-08-29,reported_cases,NA,positivity-adjusted reported cases,68,189,103,152,128,130.756,38.304650014555406
2020-08-30,reported_cases,NA,positivity-adjusted reported cases,50,152,69,111,102,105.62733333333334,32.51117928469707
2020-08-31,reported_cases,NA,positivity-adjusted reported cases,56,166,85,128,111,114.32666666666667,34.95772641969679
2020-09-01,reported_cases,NA,positivity-adjusted reported cases,55,162,75,119,110,112.874,33.639222986087276
2020-09-02,reported_cases,NA,positivity-adjusted reported cases,51,153,74,113,102,105.303,32.155857798078465
2020-09-03,reported_cases,NA,positivity-adjusted reported cases,49,144,71,108,92,95,29.953960449032344
2020-09-04,reported_cases,NA,positivity-adjusted reported cases,40,125,62,95,84,86.337,26.513614520059427
2020-09-05,reported_cases,NA,positivity-adjusted reported cases,38,115,52,83,76,78.52466666666666,24.588389967542692
2020-09-06,reported_cases,NA,positivity-adjusted reported cases,31,93,44,69,62,63.504333333333335,19.61583309960654
2020-09-07,reported_cases,NA,positivity-adjusted reported cases,34,100,48,74,66,68.033,21.14143398819072
2020-09-08,reported_cases,NA,positivity-adjusted reported cases,30,97,49,75,65,67.157,21.58829240868858
2020-09-09,reported_cases,NA,positivity-adjusted reported cases,31,92,42,66,59.5,61.75833333333333,19.823561446378942
2020-09-10,reported_cases,NA,positivity-adjusted reported cases,25,82,39,61,54,55.913333333333334,17.863506295646825
2020-09-11,reported_cases,NA,positivity-adjusted reported cases,22,74,34,54,49,50.446333333333335,16.47605150857834
2020-09-12,reported_cases,NA,positivity-adjusted reported cases,19,66,28,47,43,44.886,14.833824572593661
2020-09-13,reported_cases,NA,positivity-adjusted reported cases,15,53,25,40,35,35.943333333333335,11.9386891933512
2020-09-14,reported_cases,NA,positivity-adjusted reported cases,18,58,26,42,38,38.81933333333333,13.025945313334878
2020-09-15,reported_cases,NA,positivity-adjusted reported cases,16,56,23,39,37,37.979,12.62992731655018
2020-09-16,reported_cases,NA,positivity-adjusted reported cases,15,51,21,36,33,34.493,11.653549648346157
2020-09-17,reported_cases,NA,positivity-adjusted reported cases,12,46,18,32,30,30.916666666666668,10.859574838705614
2020-09-18,reported_cases,NA,positivity-adjusted reported cases,11,41,18,30,27,27.717666666666666,9.968370513401528
2020-09-19,reported_cases,NA,positivity-adjusted reported cases,10,38,15,26,24,24.774,9.114198458331153
2020-09-20,reported_cases,NA,positivity-adjusted reported cases,7,30,11,20,19,19.508333333333333,7.418464020606325
2020-09-21,reported_cases,NA,positivity-adjusted reported cases,8,32,11,21,20,20.773,7.839002125149989
2020-09-22,reported_cases,NA,positivity-adjusted reported cases,8,32,13,22,20,20.496333333333332,7.828564067610086
2020-09-23,reported_cases,NA,positivity-adjusted reported cases,6,29,10,19,18,18.640666666666668,7.349527291331343
2020-09-24,reported_cases,NA,positivity-adjusted reported cases,5,26,10,18,16,16.597666666666665,6.995720686595759
2020-09-25,reported_cases,NA,positivity-adjusted reported cases,5,24,9,16,14,14.674,6.279506461535558
2020-09-26,reported_cases,NA,positivity-adjusted reported cases,3,21,6,13,12,13.113333333333333,5.884502075546799
2020-09-27,reported_cases,NA,positivity-adjusted reported cases,2,17,4,10,10,10.468333333333334,5.10983046144101
2020-09-28,reported_cases,NA,positivity-adjusted reported cases,2,19,6,12,10,11.261,5.616706757368243
2020-09-29,reported_cases,NA,positivity-adjusted reported cases,3,19,5,11,10,10.989666666666666,5.863817414771725
2020-09-30,reported_cases,NA,positivity-adjusted reported cases,1,17,3,9,9,10.066,5.729390832054965
