date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.033666666666667,3.9819365257439636
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,8.117333333333333,3.732676945743182
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,3,15,5,10,9,9.290666666666667,4.090120933661116
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.942333333333334,4.294549523224141
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,4,17,6,11,10,10.378,4.44473860128406
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.803666666666667,4.259401451197462
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,10,10.058666666666667,4.23302859261674
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.796666666666667,4.254412089775989
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,2,14,5,9,8,8.491,3.888224757382385
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.349,4.214473426430325
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.703,4.349685535156718
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.648,4.286360573064377
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,8,8.878666666666666,4.027656749921384
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,8,8.934666666666667,4.150036846121202
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,14,3,8,8,8.512333333333334,4.036245571690836
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.255333333333334,3.543960793837639
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.799,3.747970307665521
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,8,8.019666666666666,3.6864359245072182
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,2,13,5,9,8,7.957333333333334,3.692251859884583
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.157666666666667,3.4818839336578566
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,7.143,3.450292621366728
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.709333333333333,3.323029801939351
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.739333333333334,3.0016200286658066
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,1,10,4,7,6,6.097333333333333,3.1467168336483575
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,1,10,4,7,6,6.1866666666666665,3.1683594686835153
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,2,11,2,6,6,6.178,3.131386997510218
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.583,2.996348394501838
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.641,3.0605949444192384
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.316,2.855671950247287
