date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.69525,4.195387676596673
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.7345,3.940417677463674
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,4,17,6,11,10,10.51875,4.414863666388601
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,3,17,5,11,10,10.8885,4.592748750505662
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,3,18,6,12,11,11.477,4.80439814757167
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3,17,6,11,10,10.6565,4.613494210704946
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,3,17,6,11,10,10.8625,4.609056801684081
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,4,17,6,11,10,10.50825,4.36436637565698
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,9,9.06975,4.056106253167469
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,3,17,6,11,10,10.519,4.439940007119095
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,3,17,7,12,10,10.76025,4.6433996411634535
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,3,17,7,12,10,10.92075,4.588707170421094
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.8445,4.278714362883995
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.66075,4.315879532787655
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.2445,4.218728382734757
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,8,7.90775,3.7221907008377944
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.795,3.9306281252956046
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,3,15,4,9,8,8.92275,4.096947483452838
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,8,8.83625,4.02765334101122
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.89025,3.7411500890096785
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,7,7.66,3.7197928994506806
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.34225,3.5231687607932236
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.25075,3.2300127992270857
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.82325,3.3295316311338268
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,6.96675,3.3623608975244315
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.84825,3.273591458590922
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,1,11,2,6,6,6.264,3.1898037105640187
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,0,10,2,6,6,6.12975,3.1583870550800803
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.85225,3.0158238900728245
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,4.98625,2.7468977591684824
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.7785,2.9540005551488906
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,6,5.91975,3.0327560633580406
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,1,10,2,6,6,6.1375,3.138240890845099
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,5,5.77825,3.0070479746556207
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,6,5.92775,3.046941236752861
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,1,10,4,7,6,6.07375,3.0985014305755647
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,0,9,2,5,5,5.39275,2.890949123420983
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.6915,3.281389893003798
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.3495,3.5968158169421534
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,1,13,5,9,8,8.1405,3.814498308996523
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,1,13,3,8,8,8.154,3.8494790065871953
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.10975,4.217422388189272
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.58225,4.339175272792286
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,2,15,5,10,9,9.453,4.22809179063647
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,3,19,7,13,12,12.226,5.087720041807131
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,4,22,8,15,14,14.11925,5.7054945100666865
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,6,25,10,17,15,16.21275,6.243975836441194
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,5,26,11,19,17,17.19125,6.673178123208313
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,8,31,12,21,19,19.724,7.472602220511038
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,10,35,13,23,21,22.16975,8.417282673131504
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,8,33,13,23,21,21.89575,8.031127361035454
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,12,45,18,31,28,29.597,10.55786238376541
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,15,52,21,36,33,34.539,11.940210264282989
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,17,61,27,44,40,40.925,13.750605251631526
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,16,63,29,47,42,42.93125,14.681975805077641
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,22,73,34,54,48,49.58825,16.221729194571566
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,25,83,36,59,54,55.826,18.28130945990719
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,24,83,39,61,53,55.82,18.459923948869605
2020-06-29,reported_cases,NA,positivity-adjusted reported cases,34,110,48,78,71,74.1025,24.514388276237682
2020-06-30,reported_cases,NA,positivity-adjusted reported cases,40,128,66,100,85,88.203,27.492230660436988
2020-07-01,reported_cases,NA,positivity-adjusted reported cases,46,149,71,112,98,101.64875,32.55526585317946
2020-07-02,reported_cases,NA,positivity-adjusted reported cases,55,160,78,120,104,107.26775,33.27780661402972
2020-07-03,reported_cases,NA,positivity-adjusted reported cases,59,182,86,135,118,122.9275,39.35928139598082
2020-07-04,reported_cases,NA,positivity-adjusted reported cases,71,203,103,156,132,135.9735,42.1105761407479
2020-07-05,reported_cases,NA,positivity-adjusted reported cases,67,198,88,141,127.5,132.002,42.11118419088318
2020-07-06,reported_cases,NA,positivity-adjusted reported cases,92,265,121,189,168,174.42375,54.79443670219521
2020-07-07,reported_cases,NA,positivity-adjusted reported cases,100,294,142,218,192,199.51275,61.616267970051055
2020-07-08,reported_cases,NA,positivity-adjusted reported cases,109,324,166,252,221,227.66225,67.95204960263376
2020-07-09,reported_cases,NA,positivity-adjusted reported cases,126,352,162,250,225,234.4745,71.60443176516452
2020-07-10,reported_cases,NA,positivity-adjusted reported cases,137,384,187,289,253,261.20725,78.88965199400637
2020-07-11,reported_cases,NA,positivity-adjusted reported cases,146,411,198,307,272,279.83275,84.82649739970863
2020-07-12,reported_cases,NA,positivity-adjusted reported cases,134,395,186,292,258,266.18775,82.41015021313842
2020-07-13,reported_cases,NA,positivity-adjusted reported cases,170,494,239,369,328.5,338.603,102.0262771608757
2020-07-14,reported_cases,NA,positivity-adjusted reported cases,198,556,266,412,370,381.38525,114.7844118238053
2020-07-15,reported_cases,NA,positivity-adjusted reported cases,211,603,310,472,402,415.051,125.21014253625178
2020-07-16,reported_cases,NA,positivity-adjusted reported cases,206,593,289,441,396,408.8395,124.29243497533558
2020-07-17,reported_cases,NA,positivity-adjusted reported cases,234,670,315,489,434,447.89425,136.35413334166785
2020-07-18,reported_cases,NA,positivity-adjusted reported cases,243,672,333,511,448,464.45525,138.30700164530185
2020-07-19,reported_cases,NA,positivity-adjusted reported cases,218,623,314,474,410.5,424.82825,126.63574102386603
2020-07-20,reported_cases,NA,positivity-adjusted reported cases,281,782,393,593,509,527.10825,158.76189362266427
2020-07-21,reported_cases,NA,positivity-adjusted reported cases,283,822,416,629,553,572.25425,170.3484788837341
2020-07-22,reported_cases,NA,positivity-adjusted reported cases,316,889,429,668,595,614.13775,184.75027859599516
2020-07-23,reported_cases,NA,positivity-adjusted reported cases,298,865,432,657,574,591.07275,177.9508473805572
2020-07-24,reported_cases,NA,positivity-adjusted reported cases,325,909,439,676,606,625.336,186.126697146991
2020-07-25,reported_cases,NA,positivity-adjusted reported cases,320,921,449,689,606,621.56425,188.89142215642977
2020-07-26,reported_cases,NA,positivity-adjusted reported cases,285,828,400,620,550,565.55375,174.17353764634157
2020-07-27,reported_cases,NA,positivity-adjusted reported cases,340,972,497,750,650,668.89875,200.35923351333477
2020-07-28,reported_cases,NA,positivity-adjusted reported cases,339,996,481,748,672,693.668,207.739001271216
2020-07-29,reported_cases,NA,positivity-adjusted reported cases,356,1041,508,783,703,721.8085,215.00494787249065
2020-07-30,reported_cases,NA,positivity-adjusted reported cases,353,1012,480,739,652,679.3695,208.06900693678986
2020-07-31,reported_cases,NA,positivity-adjusted reported cases,360,1023,507,774,678,697.93075,209.1256627966724
2020-08-01,reported_cases,NA,positivity-adjusted reported cases,360,988,495,747,651,673.5835,197.21180910930013
2020-08-02,reported_cases,NA,positivity-adjusted reported cases,312,860,404,623,567,585.5985,173.56352690648475
2020-08-03,reported_cases,NA,positivity-adjusted reported cases,352,1004,501,756,657.5,679.95325,205.73116169448065
2020-08-04,reported_cases,NA,positivity-adjusted reported cases,358,1007,521,773,671,688.7135,203.46504840937928
2020-08-05,reported_cases,NA,positivity-adjusted reported cases,365,1009,486,757,676,693.15775,202.93432053142192
2020-08-06,reported_cases,NA,positivity-adjusted reported cases,313,912,461,697,608,627.16375,186.39791437019323
2020-08-07,reported_cases,NA,positivity-adjusted reported cases,300,881,438,674,595,614.9095,187.03019109984814
2020-08-08,reported_cases,NA,positivity-adjusted reported cases,296,842,421,646,563,577.59175,172.7820939650178
2020-08-09,reported_cases,NA,positivity-adjusted reported cases,248,707,346,531,468,485.41325,147.5104210064966
2020-08-10,reported_cases,NA,positivity-adjusted reported cases,265,785,404,617,530,543.19925,164.25955025324967
2020-08-11,reported_cases,NA,positivity-adjusted reported cases,280,781,383,592,514,529.50775,157.98880832459764
2020-08-12,reported_cases,NA,positivity-adjusted reported cases,271,743,375,563,499,514.50925,149.04994426670874
2020-08-13,reported_cases,NA,positivity-adjusted reported cases,231,662,326,500,436,451.07275,138.2867953453229
2020-08-14,reported_cases,NA,positivity-adjusted reported cases,220,623,299,460,416,429.34,128.05076590814448
2020-08-15,reported_cases,NA,positivity-adjusted reported cases,200,574,286,434,383,394.688,119.58817662711164
2020-08-16,reported_cases,NA,positivity-adjusted reported cases,160,464,232,351,308,318.89775,96.75129197102235
2020-08-17,reported_cases,NA,positivity-adjusted reported cases,174,517,250,384,344,354.958,108.12572325310593
2020-08-18,reported_cases,NA,positivity-adjusted reported cases,175,493,241,370,328,338.65425,102.22297242283771
2020-08-19,reported_cases,NA,positivity-adjusted reported cases,163,469,241,365,312,323.653,98.50523545148673
2020-08-20,reported_cases,NA,positivity-adjusted reported cases,138,411,202,311,272,282.2495,85.60345926310136
2020-08-21,reported_cases,NA,positivity-adjusted reported cases,133,391,186,287,255,264.99525,81.1985839158848
2020-08-22,reported_cases,NA,positivity-adjusted reported cases,115,346,167,259,234,240.09425,72.78079161320287
2020-08-23,reported_cases,NA,positivity-adjusted reported cases,103,288,139,214,191,196.0265,58.52643534043752
2020-08-24,reported_cases,NA,positivity-adjusted reported cases,111,315,151,232,206,211.725,64.08807763869858
2020-08-25,reported_cases,NA,positivity-adjusted reported cases,101,297,141,219,196,201.484,62.09873837145834
2020-08-26,reported_cases,NA,positivity-adjusted reported cases,95,282,129,204,186,192.29,60.0949852467987
2020-08-27,reported_cases,NA,positivity-adjusted reported cases,79,242,126,189,162,167.5205,51.296412254928285
2020-08-28,reported_cases,NA,positivity-adjusted reported cases,73,227,108,169,153,157.57075,48.51680084701182
2020-08-29,reported_cases,NA,positivity-adjusted reported cases,67,209,97,153,138,142.588,44.27571389272202
2020-08-30,reported_cases,NA,positivity-adjusted reported cases,59,171,77,122,111,115.56025,36.09594990213354
2020-08-31,reported_cases,NA,positivity-adjusted reported cases,62,185,83,132,122,126.3495,39.10732278517485
2020-09-01,reported_cases,NA,positivity-adjusted reported cases,59,172,83,130,116,119.53775,36.46502433068377
2020-09-02,reported_cases,NA,positivity-adjusted reported cases,57,169,80,126,111,113.8315,35.35923750124099
2020-09-03,reported_cases,NA,positivity-adjusted reported cases,49,146,72,110,95,98.304,30.775150064059254
2020-09-04,reported_cases,NA,positivity-adjusted reported cases,48,137,58,95,89,92.26625,28.85968782459078
2020-09-05,reported_cases,NA,positivity-adjusted reported cases,39,122,63,96,81,83.5185,26.52449895872216
2020-09-06,reported_cases,NA,positivity-adjusted reported cases,30,98,51,78,66,67.4695,21.2999411178272
2020-09-07,reported_cases,NA,positivity-adjusted reported cases,35,108,51,80,70,72.90225,23.194949802954746
2020-09-08,reported_cases,NA,positivity-adjusted reported cases,31,101,47,75,66,69.09575,22.287962451849737
2020-09-09,reported_cases,NA,positivity-adjusted reported cases,31,96,43,69,63,65.64975,20.73769726752442
2020-09-10,reported_cases,NA,positivity-adjusted reported cases,27,84,39,62,55,56.4595,18.545857946229948
2020-09-11,reported_cases,NA,positivity-adjusted reported cases,23,78,39,60,50,52.3375,17.35541403565721
2020-09-12,reported_cases,NA,positivity-adjusted reported cases,21,71,31,51,46,47.61675,16.017756133909373
2020-09-13,reported_cases,NA,positivity-adjusted reported cases,17,57,25,41,37,38.115,12.680929638402839
2020-09-14,reported_cases,NA,positivity-adjusted reported cases,20,62,27,44,40,41.15375,13.655941275522904
2020-09-15,reported_cases,NA,positivity-adjusted reported cases,18,59,27,43,38,39.02475,13.178355538578222
2020-09-16,reported_cases,NA,positivity-adjusted reported cases,17,56,24,39,35,36.90725,12.345819221524453
2020-09-17,reported_cases,NA,positivity-adjusted reported cases,14,49,20,34,31,32.105,11.066824009100898
2020-09-18,reported_cases,NA,positivity-adjusted reported cases,13,45,19,32,29,30.011,10.295697127676018
2020-09-19,reported_cases,NA,positivity-adjusted reported cases,10,41,16,28,26,27.42025,9.861006530773112
2020-09-20,reported_cases,NA,positivity-adjusted reported cases,9,34,13,23,21,22.1115,8.141353582761276
2020-09-21,reported_cases,NA,positivity-adjusted reported cases,11,37,17,27,23,24.12925,8.492118313816876
2020-09-22,reported_cases,NA,positivity-adjusted reported cases,9,35,15,25,22,23.10725,8.343299712944814
2020-09-23,reported_cases,NA,positivity-adjusted reported cases,8,33,13,23,21,22.1815,8.115449641315026
2020-09-24,reported_cases,NA,positivity-adjusted reported cases,8,31,12,21,19,19.45375,7.433483376336869
2020-09-25,reported_cases,NA,positivity-adjusted reported cases,6,28,10,19,18,18.59325,7.047887812540331
2020-09-26,reported_cases,NA,positivity-adjusted reported cases,7,27,10,18,16,17.23225,6.629464336343225
2020-09-27,reported_cases,NA,positivity-adjusted reported cases,4,22,7,14,14,14.16475,5.803837400344914
2020-09-28,reported_cases,NA,positivity-adjusted reported cases,5,24,10,17,15,15.6695,6.172665161727121
2020-09-29,reported_cases,NA,positivity-adjusted reported cases,5,24,10,17,15,15.28125,6.009798487217707
2020-09-30,reported_cases,NA,positivity-adjusted reported cases,5,23,9,16,14,15.07625,5.879887686623089
2020-10-01,reported_cases,NA,positivity-adjusted reported cases,4,21,9,15,13,13.34775,5.413930882399576
2020-10-02,reported_cases,NA,positivity-adjusted reported cases,4,20,8,14,12,12.90125,5.312019655997747
2020-10-03,reported_cases,NA,positivity-adjusted reported cases,4,19,6,12,11,11.9565,5.0480668076624795
2020-10-04,reported_cases,NA,positivity-adjusted reported cases,3,16,5,10,9,9.82,4.365244992089246
2020-10-05,reported_cases,NA,positivity-adjusted reported cases,3,18,5,11,10,11.04825,4.845646707148863
2020-10-06,reported_cases,NA,positivity-adjusted reported cases,3,17,5,11,10,10.77725,4.719290239282878
2020-10-07,reported_cases,NA,positivity-adjusted reported cases,3,17,7,12,10,10.584,4.5602788331152455
2020-10-08,reported_cases,NA,positivity-adjusted reported cases,2,15,4,9,9,9.32125,4.153596216278367
2020-10-09,reported_cases,NA,positivity-adjusted reported cases,2,14,4,9,9,8.915,4.049181888788416
2020-10-10,reported_cases,NA,positivity-adjusted reported cases,2,13,4,8,8,8.12975,3.7183156677925204
2020-10-11,reported_cases,NA,positivity-adjusted reported cases,1,11,3,7,6,6.78075,3.3936055423611458
2020-10-12,reported_cases,NA,positivity-adjusted reported cases,1,12,4,8,7,7.486,3.6745312006957054
2020-10-13,reported_cases,NA,positivity-adjusted reported cases,1,12,3,7,7,7.10325,3.4762926502450187
2020-10-14,reported_cases,NA,positivity-adjusted reported cases,2,12,3,7,7,6.9735,3.3770769775396086
2020-10-15,reported_cases,NA,positivity-adjusted reported cases,1,10,3,6,6,5.98375,3.136549923698962
2020-10-16,reported_cases,NA,positivity-adjusted reported cases,0,9,3,6,5,5.656,3.0177708221771575
2020-10-17,reported_cases,NA,positivity-adjusted reported cases,1,9,2,5,5,5.09075,2.7845920573275063
2020-10-18,reported_cases,NA,positivity-adjusted reported cases,1,8,1,4,4,4.15925,2.4372883561722407
2020-10-19,reported_cases,NA,positivity-adjusted reported cases,0,8,1,4,4,4.52975,2.636162414489838
2020-10-20,reported_cases,NA,positivity-adjusted reported cases,1,8,1,4,4,4.2985,2.5439173785536404
2020-10-21,reported_cases,NA,positivity-adjusted reported cases,0,7,1,4,4,4.0835,2.4593779467522356
2020-10-22,reported_cases,NA,positivity-adjusted reported cases,0,7,2,4,3,3.55425,2.3138486146143697
2020-10-23,reported_cases,NA,positivity-adjusted reported cases,0,6,1,3,3,3.3395,2.2673828539202554
